"name","status","address_street","address_street2","address_city","address_state","address_zip","description","population_size","projects","web","issues","org_types"
"Big Sur Land Trust",0,"P.O. Box 221864 ","","Carmel","CA",93922,"Preserving the Big Sur Coast as an invaluable natural and cultural resource.    ",15000,"","","Education|Environment","Non-Profit"
"Alisal USD and City of Salinas",0,"1437 Del Monte Blvd.","","Salinas","CA",93905,"The Delinquency Prevention Project is community center program which provides service and activities for ¿at - risk¿ families in order to promote the elements which assure resiliency, services include after-school activities and adult education classes.    We offer afterschoolprograms (2-5pm) in elementary schools in East Salinas.  Our programs are funded through grants and donations.  Kids we work with are considered at-risk of gang involvement or school failure.",300900,"After school program working with children grades 1st-6th OR assisting service providers with services provided for parents CP992","","Education","Government"
"American Lung Association of the Central Coast",0,"550 Camino El Estero, Suite 100","","Monterey","CA",93940,"Fight lung disease through education, community service, advocacy and research.    Non-Profit health promotion organization","","","","Education|Health & Human Services","Non-Profit"
"American Red Cross Carmel Chapter",0,"8th & Dolores, P.O. Box AR","","Carmel","CA",93921,"To assist in disasters, train in health and safety classes, hold blood drives, do international tracing, and other community services    ","","","","Education|Health & Human Services","Non-Profit"
"Area Agency on Aging",1,"1000 S. Main Street  Suite 202","","Salinas","CA",93908,"Administers the Older American¿s Act locally.  Planning Grant Management for senior programs.  Provide home support services, long term care.    ",12000,"Grant writing, data base development, files organization, legislation/advocacy Many opportunities available","","",""
"Big Brothers and Big Sisters of Monterey County",0,"11 Maple Street , Suite E","","Salinas","CA",93901,"During the summer of `94, Big Brothers/Big Sisters entered into a formal partnership with Jesse G. Sanchez Elem.   This partnership was formed to help improve the lives of children and also to strengthen the sense of community in Salinas.  The intended future of the Vol. Ctr. is to broaden the base of service learning opportunities for high school and college students, and also to get parents & other people from the community directly involved in Salinas¿s future.    ","","","","Education","Non-Profit"
"Boronda Elementary School ",0,"1114 Fontes Lane","","Salinas","CA",93907,"Education, K-6 Elementary School    ",330,"","","Education","Elementary School"
"Bureau of Land Management (BLM) Hollister Resource Area",1,"20 Hamilton Ct","","Hollister","CA",95023,"The federal government has set aside roughly 15,000 acres of Fort Ord¿s undeveloped back country for management by the BLM to protect rare species and other natural habitats. Most of this land is located between the developed part of Fort Ord and Highway 68 and includes oak woodlands, dense chaparral shrublands, rolling grassy hills, wetlands, and ponds. The BLM habitat area will provide homes for 35 species of rare plants and animals, including small annual flowers, unique chaparral shrubs, black legless lizards, tiger salamanders, ornate shrews, blue butterflies, and tiny fairy shrimp. The BLM coordinates the development of a detailed management plan (CRMP) that will guide management of all the natural habitats at Fort Ord. CSUMB, UC Santa Cruz, Monterey County, California State Parks, and local cities as well as other public and nonprofit agencies and organizations will also be involved in the development and implementation of the management plan. Additionally, uniformed BLM staff, including law enforcement rangers, patrol the lands to enhance public enjoyment of the land and to assure that natural resources and public safety are protected.    ","","","","Education|Environment","Government"
"Catholic Charities Immigration Project",0,"1705 Second Avenue","","Salinas","CA",93905,"The Mission of Catholic Charities is to serve communities with a wide range of services for the poor and disadvantaged, to promote social justice and self-sufficiency in accord with the gospel to strengthen communities. The organization serves the entire community without regard to race, religion or national origin.  Staff counselors and an attorney assist immigrants with filing applications for family reunification, labor certification, political asylum, naturalization or other visa application issues. Bilingual legal representation is provided in INS and Immigration Court matters.    ","","","","Advocacy|Health & Human Services|Immigration |Social Services","Non-Profit"
"Children's Services International Family Services & Child Care Center (Fort Ord)",0,"298 12th Street","","Marina","CA",93933,"Families experiencing the crisis of homelessness will receive day care while families are looking for jobs or educational status.    ",1000,"","","Education",""
